// HALF-LIFE SPEECH SYSTEM SENTENCES. Max of 1536 sentences.

// HUMAN GRUNTS
HG_GREN0 sentences/HG_GREN0
WILD12 ambience/wren1(v80)

// rocket
ROCKET0 ambience/steamburst1
ROCKET1 ambience/steamburst1(p80)
ROCKET2 ambience/steamburst1(p120)
ROCKET3 ambience/rocket_groan1
ROCKET4 ambience/rocket_groan2
ROCKET5 ambience/rocket_groan3
ROCKET6 ambience/rocket_groan4

// distant war zone
FAR_WAR0 ambience/(v50) distantmortar1
FAR_WAR1 ambience/(v60) distantmortar2
FAR_WAR2 ambience/(v50) distantmortar3
FAR_WAR3 ambience/(v15) biggun3
FAR_WAR4 ambience/(v20) rifle2
FAR_WAR5 ambience/(v10 p120) jetflyby1
FAR_WAR6 ambience/(v10) mgun_burst4
FAR_WAR7 ambience/(v30) distantmortar1 distantmortar3 distantmortar2
FAR_WAR8 ambience/(v10) biggun2 biggun2 biggun2
FAR_WAR9 ambience/(v15) mgun_burst1
FAR_WAR10 ambience/(v20) biggun1 rifle2
FAR_WAR11 ambience/(v60) distantmortar1 distantmortar1, distantmortar2, distantmortar1
FAR_WAR12 ambience/(v30) distantmortar2, distantmortar2 distantmortar2 distantmortar2, distantmortar3 distantmortar1
FAR_WAR13 ambience/(v10) mgun_burst2
FAR_WAR14 ambience/(v15) mgun_burst3 mgun_burst3
FAR_WAR15 ambience/(v10) rifle1 rifle1
FAR_WAR16 ambience/(v10) biggun2, biggun2 biggun2

// near war zone
NEAR_WAR0 ambience/(v60) mgun_burst3 mgun_burst3 mgun_burst3(v50)
NEAR_WAR1 ambience/(v60) rifle1 rifle2 rifle2 rifle1 rifle1
NEAR_WAR2 ambience/(v60) alienflyby1
NEAR_WAR3 ambience/(v60) biggun3 biggun3 biggun3
NEAR_WAR4 ambience/(v60) mgun_burst4 mgun_burst3 rifle1 mgun_burst4
NEAR_WAR5 ambience/(v60) jetflyby1
NEAR_WAR6 ambience/(v60) mgun_burst4 mgun_burst3
NEAR_WAR7 ambience/distantmortar1 distantmortar3 distantmortar2
NEAR_WAR8 ambience/(v60) biggun2 biggun2 biggun2 biggun2(v30)
NEAR_WAR9 ambience/(v60) mgun_burst1 mgun_burst1 rifle2 mgun_burst3
NEAR_WAR10 agrunt/(v40) ag_fire1 ag_fire2 ag_fire2 ag_fire1
NEAR_WAR11 ambience/distantmortar1 distantmortar1, distantmortar2
NEAR_WAR12 ambience/(v60) mgun_burst2 mgun_burst2 mgun_burst3 mgun_burst2

// alien slave
SLV_IDLE0 aslave/slv_word1 slv_word2
SLV_IDLE1 aslave/slv_word2 slv_word3(p95)
SLV_IDLE2 aslave/slv_word3 slv_word4
SLV_IDLE3 aslave/slv_word4 slv_word5 slv_word5(p90)
SLV_IDLE4 aslave/slv_word2(p110) slv_word6 slv_word7 slv_word3
SLV_IDLE5 aslave/slv_word6 slv_word7 slv_word2
SLV_IDLE6 aslave/slv_word7 slv_word8 slv_word3
SLV_IDLE7 aslave/slv_word8 slv_word1 slv_word8 slv_word8(p95)
SLV_IDLE8 aslave/slv_word1(p115) slv_word6
SLV_IDLE9 aslave/slv_word3 slv_word3(p90)
SLV_IDLE10 aslave/slv_word7(p85)

SLV_ALERT0 aslave/(p105) slv_alert1 slv_word2
SLV_ALERT1 aslave/(p105) slv_word8 slv_word8 slv_word8 slv_word5
SLV_ALERT2 aslave/(p105) slv_alert4 slv_word4 slv_alert3
SLV_ALERT3 aslave/(p108) slv_alert1 slv_word5
SLV_ALERT4 aslave/(p108) slv_word5(p110) slv_word8 slv_word8
SLV_ALERT5 aslave/(p108) slv_alert4 slv_word7 slv_alert1



// OTIS

//When player asks Otis to follow:
OT_OK0 otis/reputation
OT_OK1 otis/live
OT_OK2 otis/together
OT_OK3 otis/letsgo
OT_OK4 otis/diealone
OT_OK5 otis/joinyou
OT_OK6 otis/teamup

//When Otis doesn't go with player:
OT_WAIT0 otis/help
OT_WAIT1 otis/go_on
OT_WAIT2 otis/slowingyoudown
OT_WAIT3 otis/illwait
OT_WAIT4 otis/seeya
OT_WAIT5 otis/standguard
OT_WAIT6 otis/notalone

OT_HELLO0 otis/hello
OT_HELLO1 otis/soldier
OT_HELLO2 otis/hiya
OT_HELLO3 otis/hey

OT_QUESTION0 otis/beer
OT_QUESTION1 otis/rightdirection
OT_QUESTION2 otis/getanyworse
OT_QUESTION3 otis/gladof
OT_QUESTION4 otis/aliencombat
OT_QUESTION5 otis/somethingmoves
OT_QUESTION6 otis/noise

OT_ANSWER0 otis/yes
OT_ANSWER1 otis/yessir
OT_ANSWER2 otis/youbet
OT_ANSWER3 otis/alright
OT_ANSWER4 otis/yup
OT_ANSWER5 otis/yeah
OT_ANSWER6 otis/noway
OT_ANSWER7 otis/doubt
OT_ANSWER8 otis/breath
OT_ANSWER9 otis/no
OT_ANSWER10 otis/dontguess
OT_ANSWER12 otis/nope
OT_ANSWER13 otis/nosir
OT_ANSWER14 otis/dontask
OT_ANSWER15 otis/suppose
OT_ANSWER16 otis/hell
OT_ANSWER17 otis/cantfigure
OT_ANSWER18 otis/maybe
OT_ANSWER19 otis/talkmuch
OT_ANSWER20 otis/dejavu

OT_KILL0 otis/gotone
OT_KILL1 otis/another
OT_KILL2 otis/buttugly
OT_KILL3 otis/seethat
OT_KILL4 otis/close
OT_KILL5 otis/firepl
OT_KILL6 otis/bring

OT_MAD0 otis/bully
OT_MAD1 otis/somuch
OT_MAD2 otis/dontmake
OT_MAD3 otis/tomb

OT_SHOT0 otis/friends
OT_SHOT1 otis/chump
OT_SHOT2 otis/watchit
OT_SHOT3 otis/damn
OT_SHOT4 otis/quitit
OT_SHOT5 otis/onry

OT_IDLE0 otis/mom
OT_IDLE1 otis/aliens
OT_IDLE2 otis/wuss
OT_IDLE3 otis/bridge
OT_IDLE4 otis/closet
OT_IDLE5 otis/cousin
OT_IDLE6 otis/mall

OT_ATTACK0 otis/behind
OT_ATTACK1 otis/leftovers
OT_ATTACK2 otis/yourback
OT_ATTACK3 otis/die

OT_HEAR0 otis/hearsomething
OT_HEAR1 otis/soundsbad

OT_SMELL0 otis/ass
OT_SMELL1 otis/chili
OT_SMELL2 otis/janitor

OT_CUREA otis/scar
OT_CUREB otis/insurance
OT_CUREC otis/medic

OT_SCARED0 otis/donthurtem
OT_SCARED1 otis/leavealone

OT_WOUND0 otis/imhit
OT_WOUND1 otis/virgin

OT_MORTAL0 otis/imdead
OT_MORTAL1 otis/hitbad

OT_MISC0 otis/stupidmachines
OT_MISC1 otis/quarter

//scripts
OT_NOTOPEN otis/of1a1_ot01
OT_FOUNDVEST otis/of1a1_ot02
OT_GOODLUCK otis/of1a1_ot03
OT_FINDMORE otis/of1a1_ot04
OT_SCREAMING otis/of1a5_ot01
OT_TRUSTYA otis/of2a6_ot01
OT_TRANSPORTER otis/of3a2_ot01
OT_TELLSECRET otis/of6a3_ot01




//FRIENDLY GRUNT
FG_QUESTION0 fgrunt/seensquad
FG_QUESTION1 fgrunt/current
FG_QUESTION2 fgrunt/coverup
FG_QUESTION3 fgrunt/chicken
FG_QUESTION4 fgrunt/charge
FG_QUESTION5 fgrunt/bfeeling

FG_QUEST0 fgrunt/bfeeling
FG_QUEST1 fgrunt/current

FG_ANSWER0 fgrunt/roger
FG_ANSWER1 fgrunt/quiet

FG_GREN0 fgrunt/incoming
FG_GREN1 fgrunt/grenade

FG_ALERT0 fgrunt/alert
FG_ALERT1 fgrunt/down
FG_ALERT2 fgrunt/bogies
FG_ALERT3 fgrunt/hostiles

FG_MONSTER0 fgrunt/alert
FG_MONSTER1 fgrunt/alien

FG_COVER0 fgrunt/clear
FG_COVER1 fgrunt/cover
FG_COVER2 fgrunt/staydown

FG_CLEAR0 fgrunt/clear
FG_CLEAR1 fgrunt/area

FG_THROW0 fgrunt/fire
FG_THROW1 fgrunt/grenade

FG_CHARGE0 fgrunt/go
FG_CHARGE1 fgrunt/getsome
FG_CHARGE2 fgrunt/move


FG_TAUNT0 fgrunt/mister
FG_TAUNT1 fgrunt/nothing
FG_TAUNT2 fgrunt/oneshot
FG_TAUNT3 fgrunt/getsome
FG_TAUNT4 fgrunt/corners
FG_TAUNT5 fgrunt/backup

FG_OK0 fgrunt/damage
FG_OK1 fgrunt/six
FG_OK2 fgrunt/moving
FG_OK3 fgrunt/gotit
FG_OK4 fgrunt/hellout
FG_OK5 fgrunt/sir
FG_OK6 fgrunt/right
FG_OK7 fgrunt/command
FG_OK8 fgrunt/notfail
FG_OK9 fgrunt/yes

FG_SCARED0 fgrunt/hearsome
FG_SCARED1 fgrunt/hear

FG_WAIT0 fgrunt/secure
FG_WAIT1 fgrunt/orders
FG_WAIT2 fgrunt/scout
FG_WAIT3 fgrunt/guardduty

FG_STOP0 fgrunt/sorry
FG_STOP1 fgrunt/post
FG_STOP2 fgrunt/stay
FG_STOP3 fgrunt/leave

FG_KILL0 fgrunt/oneshot
FG_KILL1 fgrunt/killer
FG_KILL2 fgrunt/sniper
FG_KILL3 fgrunt/tag
FG_KILL4 fgrunt/corporal
FG_KILL5 fgrunt/talking
FG_KILL6 fgrunt/take
FG_KILL7 fgrunt/sniper
FG_KILL8 fgrunt/checkin
FG_KILL9 fgrunt/area

FG_SHOT0 fgrunt/check
FG_SHOT1 fgrunt/wantsome
FG_SHOT2 fgrunt/zone
FG_SHOT3 fgrunt/watchit
FG_SHOT4 fgrunt/watchfire
FG_SHOT5 fgrunt/friendly

FG_CHECK0 fgrunt/check
FG_CHECK1 fgrunt/zone

FG_IDLE0 fgrunt/guard
FG_IDLE1 fgrunt/mission
FG_IDLE2 fgrunt/babysitting
FG_IDLE3 fgrunt/coverup
FG_IDLE4 fgrunt/now
FG_IDLE5 fgrunt/seensquad
FG_IDLE6 fgrunt/short
FG_IDLE7 fgrunt/outof
FG_IDLE8 fgrunt/lost
FG_IDLE9 fgrunt/fubar
FG_IDLE10 fgrunt/dogs
FG_IDLE11 fgrunt/disney
FG_IDLE12 fgrunt/checkrecon

FG_ATTACK0 fgrunt/flank
FG_ATTACK1 fgrunt/wantsome
FG_ATTACK2 fgrunt/freaks
FG_ATTACK3 fgrunt/recon
FG_ATTACK4 fgrunt/rapidfire
FG_ATTACK5 fgrunt/sweep
FG_ATTACK6 fgrunt/suppressing
FG_ATTACK7 fgrunt/marines
FG_ATTACK8 fgrunt/moveup
FG_ATTACK9 fgrunt/go
FG_ATTACK10 fgrunt/covering
FG_ATTACK11 fgrunt/ass

FG_MAD0 fgrunt/ass
FG_MAD1 fgrunt/shephard


FG_HELLO0 fgrunt/sore
//FG_HELLO0 fgrunt/hello
FG_HELLO1 fgrunt/tosee
FG_HELLO2 fgrunt/hellosir

FG_WOUND0 fgrunt/imhit
FG_WOUND1 fgrunt/fwound
FG_WOUND2 fgrunt/makeit

FG_MORTAL0 fgrunt/hitbad
FG_MORTAL1 fgrunt/critical
FG_MORTAL2 fgrunt/sdamage

FG_CURE1 fgrunt/needmedic
FG_CURE2 fgrunt/hurt
FG_CURE3 fgrunt/hell
FG_CURE4 fgrunt/feel

FG_MAKEIT fgrunt/makeit

// TORCH GRUNT
TG_OPEN0 fgrunt/locksmith
TG_OPEN1 fgrunt/stand
TG_OPEN2 fgrunt/through

TG_NOTOPEN0 fgrunt/blocked
TG_NOTOPEN1 fgrunt/thick
TG_NOTOPEN2 fgrunt/cutting
TG_NOTOPEN3 fgrunt/situations

TG_CUTIT fgrunt/of5a3_fg01



// MEDIC GRUNT
MG_HEAL0 fgrunt/sting
MG_HEAL1 fgrunt/onepiece
MG_HEAL3 fgrunt/frosty

MG_NOTHEAL0 fgrunt/nohealth

// LEVEL SPECIFIC
FG_COOPER fgrunt/of1a6_fg01
FG_MADEIT fgrunt/of1a6_fg02
FG_TOHANGAR fgrunt/of1a6_fg03
FG_MESSAROUND fgrunt/of1a6_fg04
FG_TALK fgrunt/of1a6_fg05

FG_GETOUT fgrunt/of2a1_fg01

FG_BITOFF fgrunt/of2a4_fg01
FG_OWNASSES fgrunt/of2a4_fg02
FG_YOUWITHUS fgrunt/of2a4_fg03

FG_DOWNTHERE fgrunt/of2a5_fg01
FG_NEEDMEDIC fgrunt/of2a5_fg02
FG_FIXEDUP fgrunt/of2a5_fg03
FG_THANKSDOC fgrunt/of2a5_fg04

FG_BRIEFING fgrunt/of2a6_fg01
FG_SAMETEAM fgrunt/of2a6_fg02
FG_KEEPMOVING fgrunt/of2a6_fg03

FG_WIPEDOUT fgrunt/of3a4_fg01

FG_MASKFREAKS fgrunt/of5a1_fg01
FG_PATIENT fgrunt/of5a1_fg02
FG_TABLES fgrunt/of5a1_fg03
FG_SUPRISE fgrunt/of5a1_fg04

FG_EVAC fgrunt/of5a3_fg01
FG_DAMNWALLS fgrunt/of5a3_fg02
FG_FIREPOWER fgrunt/of5a3_fg03
FG_STANDOFF fgrunt/of5a3_fg04
FG_STANDBACK fgrunt/of5a3_fg05

FG_BLACKOPS fgrunt/of6a1_fg01
FG_LETSGO fgrunt/of6a1_fg02

FG_YES fgrunt/siryessir
FG_GROUPYES fgrunt/yessir




// BOOT CAMP MP

FG_POK0 fgrunt/restricted.wav
FG_POK1 fgrunt/restricted2.wav

// RADIO
RD_YOUREALIVE radio/of1a2_rd01
RD_TRANSIT radio/of1a2_rd02
RD_RALLYPOINT radio/of1a6_rd01
RD_LEFTBEHIND radio/of2a3_rd01
RD_MAYDAY radio/of2a5_rd01
RD_SOMEWORM radio/of4a3_rd01
RD_MORARFIELD radio/of6A2_rd01
RD_BOOT0 radio/bootcamp0

// black ops

BO_BECAREFUL ops/of6a2_bo01
BO_COVERED ops/of6a2_bo02
BO_GETDOWN ops/of6a2_bo03
BO_CLEANUP ops/of2a5_bo01
BO_PACKAGE ops/of2a5_bo02
BO_SOONER ops/of2a5_bo03

// shock trooper
ST_GREN0 shocktrooper/kss kyur kiml
ST_ALERT0 shocktrooper/dit dit
ST_ALERT1 shocktrooper/dit kss kss
ST_ALERT2 shocktrooper/kss dit dit kss
ST_MONST0 shocktrooper/pur thirv pur kss kss
ST_COVER0 shocktrooper/ka ga blis blis ka
ST_THROW0 shocktrooper/kss wirt ras
ST_TAUNT0 shocktrooper/kiml kiml
ST_CHARGE0 shocktrooper/mub puh mub dit dit
ST_IDLE0 shocktrooper/ku kur ku
ST_QUEST0 shocktrooper/puh pur hyu ka
ST_ANSWER0 shocktrooper/dup dup
ST_CLEAR0 shocktrooper/dup blis dup
ST_CHECK0 shocktrooper/kss kss




// G-Man outro speech
OF7A0_GM01 gman/of7a0_gm01
OF7A0_GM02 gman/of7a0_gm02
OF7A0_GM03 gman/of7a0_gm03
OF7A0_GM04 gman/of7a0_gm04

//drill sergeant
DR_ADD01 drill/add01
DR_ADD02 drill/add02
DR_ADD03 drill/add03
DR_ADD04 drill/add04
DR_ADD05 drill/add05
DR_ADD06 drill/add06
DR_ADD07 drill/add07
DR_ADD08 drill/add08
DR_ADD09 drill/add09
DR_ADD10 drill/add10
DR_ADD11 drill/add11
DR_ADD12 drill/add12
DR_ADD13 drill/add13
DR_ADD14 drill/add14
DR_ADD15 drill/add15
DR_ADD16 drill/add16
DR_ADD17 drill/add17
DR_ADD18 drill/add18
DR_ADD19 drill/add19
DR_BARRACKS01 drill/barracks01
DR_BARRACKS02 drill/barracks02
DR_BARRACKS03 drill/barracks03
DR_BARRACKS345F drill/barracks0345_full
DR_BARRACKS04 drill/barracks04
DR_BARRACKS05 drill/barracks05
DR_BARRACKS06 drill/barracks06
DR_BARRACKS07 drill/barracks07
DR_BARRACKS08 drill/barracks08
DR_DR2_ADD01 drill/dr2_add01
DR_DR2_ADD02 drill/dr2_add02
DR_DR2_ADD03 drill/dr2_add03
DR_DR2_ADD04 drill/dr2_add04
DR_DR2_ADD05 drill/dr2_add05
DR_DR2_ADD06 drill/dr2_add03
DR_DR2_ADD07 drill/dr2_add07
DR_DR2_ADD08 drill/dr2_add08
DR_DR2_ADD09 drill/dr2_add09
DR_DR2_ADD10 drill/dr2_add10
DR_DR2_ADD11 drill/dr2_add11
DR_DR2_ADD12 drill/dr2_add12
DR_DR2_ADD13 drill/dr2_add13
DR_DR2_ADD14 drill/dr2_add14
DR_DR2_ADD15 drill/dr2_add15
DR_DR2_ADD16 drill/dr2_add16
DR_DR2_ADD17 drill/dr2_add17
DR_DR2_ADD18 drill/dr2_add18
DR_DR2_ADD19 drill/dr2_add19
DR_FIFTHROOM01 drill/fifthroom01
DR_FIRSTROOM01 drill/firstroom01
DR_FOURTHROOM01 drill/fourthroom01
DR_FOURTHROOM02 drill/fourthroom02
DR_INTRO01 drill/intro01
DR_INTRO02 drill/intro02
DR_LIVEFIRE01 drill/livefire01
DR_LIVEFIRE02 drill/livefire02
DR_LIVEFIRE03 drill/livefire03
DR_LIVEFIRE04 drill/livefire04
DR_LIVEFIRE05 drill/livefire05
DR_LIVEFIRE06 drill/livefire06
DR_LIVEFIRE07 drill/livefire07
DR_LIVEFIRE08 drill/livefire08
DR_LIVEFIRE09 drill/livefire09
DR_LIVEFIRE10 drill/livefire10
DR_LIVEFIRE11 drill/livefire11
DR_OC101 drill/oc101
DR_OC102 drill/oc102
DR_OC103 drill/oc103
DR_OC104 drill/oc104
DR_OC105 drill/oc105
DR_OC106 drill/oc106
DR_OC106A drill/oc106a
DR_OC106B drill/oc106b
DR_OC106C drill/oc106c
DR_OC106D drill/oc106d
DR_OC107 drill/oc107
DR_OC107A drill/oc107a
DR_OC107B drill/oc107b
DR_OC107C drill/oc107c
DR_OC108 drill/oc108
DR_OC109 drill/oc109
DR_PISTOL01 drill/pistol01
DR_PISTOL02 drill/pistol02
DR_PISTOL03 drill/pistol03
DR_RIFLE01 drill/rifle01
DR_RIFLE02 drill/rifle02
DR_RIFLE03 drill/rifle03
DR_RIFLE04 drill/rifle04
DR_RIFLE05 drill/rifle05
DR_RIFLE06 drill/rifle06
DR_RIFLE07 drill/rifle07
DR_RIFLE08 drill/rifle08
DR_RIFLE09 drill/rifle09
DR_ROPE01 drill/rope01
DR_ROPE02 drill/rope02
DR_ROPE03 drill/rope03
DR_ROPE04 drill/rope04
DR_ROPE05 drill/rope05
DR_ROPE05B drill/rope05b
DR_ROPE06 drill/rope06
DR_ROPE07 drill/rope07
DR_SECONDROOM01 drill/secondroom01
DR_SECONDROOM02 drill/secondroom02
DR_SEVENROOM01 drill/seventhroom01
DR_SIXTHROOM01 drill/sixthroom01
DR_SOUND4 drill/sound4
DR_SQUAD01 drill/squad01
DR_SQUAD02 drill/squad02
DR_SQUAD03 drill/squad03
DR_SQUAD04 drill/squad04
DR_SQUAD05 drill/squad05
DR_SQUAD06 drill/squad06
DR_SQUAD07 drill/squad07
DR_THIRDROOM01 drill/thirdroom01
DR_THIRDROOM02 drill/thirdroom02

// *Boot Camp Responses (Pre-disaster entity flag)

DR_POK0 drill/dr2_add02
DR_POK1 drill/dr2_add03
DR_POK2 drill/dr2_add10
DR_POK3 drill/dr2_add12
DR_POK4 drill/dr2_add17
DR_POK5 drill/dr2_add18

//Recruit

RC_YESSIR fgrunt/yessir

//Target Range MP

MP_PISTOL01 fgrunt/thanks

// Intro dialogue
INTRO_FG1_L1 fgrunt/intro_FG01
INTRO_FG2_L1 fgrunt/intro_FG02
INTRO_FG1_L2 fgrunt/intro_FG03
INTRO_FG2_L2 fgrunt/intro_FG04
INTRO_FG1_L3 fgrunt/intro_FG05
INTRO_FG2_L3 fgrunt/intro_FG06
INTRO_FG1_L4 fgrunt/intro_FG07
INTRO_FG2_L4 fgrunt/intro_FG08
INTRO_FG1_L5 fgrunt/intro_FG09
INTRO_FG2_L5 fgrunt/intro_FG10
INTRO_FG1_L6 fgrunt/intro_FG11
INTRO_FG2_L6 fgrunt/intro_FG12
INTRO_FG3_L1 fgrunt/intro_FG13
INTRO_FG1_L7 fgrunt/intro_FG14
INTRO_FG1_L8 fgrunt/intro_FG15
INTRO_FG2_L7 fgrunt/intro_FG16
INTRO_FG3_L2 fgrunt/intro_FG17
INTRO_FG4_L1 fgrunt/intro_FG18
INTRO_FG4_L2 fgrunt/intro_FG19

INTRO_DR_L1 drill/intro01
INTRO_DR_L2 drill/intro02
INTRO_DR_L3 drill/intro03
